offline_datapoint_4 1631554430 0,112
offline_datapoint_11 1631554435 32647,000
offline_datapoint_5 1631554435 3843,000
offline_datapoint_18 1631554433 58,352
offline_datapoint_27 1631554435 391045120,000
offline_datapoint_14 1631554435 360333312,000
offline_datapoint_3 1631554435 12155252736,000
offline_datapoint_9 1631554435 216190976,000
offline_datapoint_26 1631554435 1289,000
offline_datapoint_20 1631554433 263,313
offline_datapoint_8 1631554433 9465,627
offline_datapoint_22 1631554435 216190976,000
offline_datapoint_1 1631554433 242,674
offline_datapoint_21 1631554435 8698863616,000
offline_datapoint_7 1631554435 9881239552,000
offline_datapoint_6 1631554433 0,065
offline_datapoint_12 1631554433 7,623
offline_datapoint_25 1631554433 4,291
offline_datapoint_13 1631554433 6645,080
offline_datapoint_19 1631554435 0,000
offline_datapoint_0 1631554433 9100,118
offline_datapoint_16 1631554433 7044,544
offline_datapoint_29 1631554433 7,160
offline_datapoint_17 1631554433 292,274
offline_datapoint_10 1631554433 93,477
offline_datapoint_30 1631554433 20,639
offline_datapoint_23 1631554433 6751,636
offline_datapoint_4 1631554433 0,072
offline_datapoint_11 1631554438 32647,000
offline_datapoint_5 1631554438 3849,000
offline_datapoint_18 1631554436 58,352
offline_datapoint_27 1631554438 391720960,000
offline_datapoint_14 1631554438 362795008,000
offline_datapoint_3 1631554438 12155269120,000
offline_datapoint_9 1631554438 216203264,000
offline_datapoint_26 1631554438 1326,000
offline_datapoint_20 1631554436 7,989
offline_datapoint_8 1631554436 2570,222
offline_datapoint_22 1631554438 216203264,000
offline_datapoint_1 1631554436 1,332
offline_datapoint_21 1631554438 8695726080,000
offline_datapoint_7 1631554438 9879343104,000
offline_datapoint_6 1631554436 0,065
offline_datapoint_12 1631554436 4,082
offline_datapoint_25 1631554436 2,406
offline_datapoint_13 1631554436 7394,424
offline_datapoint_19 1631554438 0,000
offline_datapoint_0 1631554436 12054,845
offline_datapoint_16 1631554436 143,807
offline_datapoint_29 1631554436 1,252
offline_datapoint_17 1631554436 24,967
offline_datapoint_10 1631554436 98,533
offline_datapoint_30 1631554436 0,000
offline_datapoint_23 1631554436 8424,107
offline_datapoint_4 1631554436 0,013
offline_datapoint_11 1631554441 32647,000
offline_datapoint_5 1631554441 3835,000
offline_datapoint_18 1631554439 58,453
offline_datapoint_27 1631554441 391835648,000
offline_datapoint_14 1631554441 358789120,000
offline_datapoint_3 1631554441 12176392192,000
offline_datapoint_9 1631554441 216608768,000
offline_datapoint_26 1631554441 1285,000
offline_datapoint_20 1631554439 628,120
offline_datapoint_8 1631554439 11649,743
offline_datapoint_22 1631554441 216608768,000
offline_datapoint_1 1631554439 52,371
offline_datapoint_21 1631554441 8719773696,000
offline_datapoint_7 1631554441 9923301376,000
offline_datapoint_6 1631554439 0,130
offline_datapoint_12 1631554439 7,552
offline_datapoint_25 1631554439 3,518
offline_datapoint_13 1631554439 5745,147
offline_datapoint_19 1631554441 0,000
offline_datapoint_0 1631554439 7888,027
offline_datapoint_16 1631554439 1208,205
offline_datapoint_29 1631554439 4,308
offline_datapoint_17 1631554439 81,059
offline_datapoint_10 1631554439 97,425
offline_datapoint_30 1631554439 0,667
offline_datapoint_23 1631554439 33933,169
offline_datapoint_4 1631554439 0,043
offline_datapoint_11 1631554444 32647,000
offline_datapoint_5 1631554444 3850,000
offline_datapoint_18 1631554442 58,433
offline_datapoint_27 1631554444 391835648,000
offline_datapoint_14 1631554444 358961152,000
offline_datapoint_3 1631554444 12172103680,000
offline_datapoint_9 1631554444 216838144,000
offline_datapoint_26 1631554444 1287,000
offline_datapoint_20 1631554442 5,654
offline_datapoint_8 1631554442 936,246
offline_datapoint_22 1631554444 216838144,000
offline_datapoint_1 1631554442 0,665
offline_datapoint_21 1631554444 8716312576,000
offline_datapoint_7 1631554444 9920241664,000
offline_datapoint_6 1631554442 0,000
offline_datapoint_12 1631554442 2,186
offline_datapoint_25 1631554442 1,624
offline_datapoint_13 1631554442 3899,305
offline_datapoint_19 1631554444 0,000
offline_datapoint_0 1631554442 5450,846
