326 1631554438 0,062124 0,200000 0,062124 0,062124 0,000772
315 1631554438 0,111833 0,200000 0,111833 0,111833 0,002501
300 1631554439 0,092949 0,200000 0,092949 0,092949 0,001728
329 1631554439 0,070863 0,200000 0,070863 0,070863 0,001004
326 1631554439 0,062124 0,200000 0,062124 0,062124 0,000772
315 1631554439 0,111833 0,200000 0,111833 0,111833 0,002501
300 1631554440 0,092949 0,200000 0,092949 0,092949 0,001728
329 1631554440 0,070863 0,200000 0,070863 0,070863 0,001004
326 1631554440 0,062124 0,200000 0,062124 0,062124 0,000772
315 1631554440 0,111833 0,200000 0,111833 0,111833 0,002501
300 1631554441 0,092949 0,200000 0,092949 0,092949 0,001728
329 1631554441 0,070863 0,200000 0,070863 0,070863 0,001004
326 1631554441 0,062124 0,200000 0,062124 0,062124 0,000772
315 1631554441 0,111833 0,200000 0,111833 0,111833 0,002501
332 1631554442 0,142551 0,200000 0,142551 0,142551 0,004064
300 1631554442 0,098099 0,200000 0,098099 0,098099 0,001925
335 1631554442 0,064688 0,200000 0,064688 0,064688 0,000837
312 1631554442 0,144601 0,200000 0,144601 0,144601 0,004182
332 1631554443 0,142551 0,200000 0,142551 0,142551 0,004064
300 1631554443 0,098099 0,200000 0,098099 0,098099 0,001925
335 1631554443 0,064688 0,200000 0,064688 0,064688 0,000837
312 1631554443 0,144601 0,200000 0,144601 0,144601 0,004182
332 1631554444 0,142551 0,200000 0,142551 0,142551 0,004064
300 1631554444 0,098099 0,200000 0,098099 0,098099 0,001925
335 1631554444 0,064688 0,200000 0,064688 0,064688 0,000837
312 1631554444 0,144601 0,200000 0,144601 0,144601 0,004182
332 1631554445 0,142551 0,200000 0,142551 0,142551 0,004064
300 1631554445 0,098099 0,200000 0,098099 0,098099 0,001925
335 1631554445 0,064688 0,200000 0,064688 0,064688 0,000837
312 1631554445 0,144601 0,200000 0,144601 0,144601 0,004182
332 1631554446 0,142551 0,200000 0,142551 0,142551 0,004064
300 1631554446 0,098099 0,200000 0,098099 0,098099 0,001925
335 1631554446 0,064688 0,200000 0,064688 0,064688 0,000837
312 1631554446 0,144601 0,200000 0,144601 0,144601 0,004182
345 1631554447 19,821168 0,200000 19,821168 19,821168 78,575744
339 1631554447 0,086721 0,200000 0,086721 0,086721 0,001504
326 1631554447 0,055920 0,200000 0,055920 0,055920 0,000625
342 1631554447 19,821097 0,200000 19,821097 19,821097 78,575180
315 1631554447 0,104291 0,400000 0,096257 0,112325 0,004376
345 1631554448 19,821168 0,200000 19,821168 19,821168 78,575744
339 1631554448 0,086721 0,200000 0,086721 0,086721 0,001504
326 1631554448 0,055920 0,200000 0,055920 0,055920 0,000625
342 1631554448 19,821097 0,200000 19,821097 19,821097 78,575180
315 1631554448 0,104291 0,400000 0,096257 0,112325 0,004376
345 1631554449 19,821168 0,200000 19,821168 19,821168 78,575744
339 1631554449 0,086721 0,200000 0,086721 0,086721 0,001504
326 1631554449 0,055920 0,200000 0,055920 0,055920 0,000625
342 1631554449 19,821097 0,200000 19,821097 19,821097 78,575180
315 1631554449 0,104291 0,400000 0,096257 0,112325 0,004376
345 1631554450 19,821168 0,200000 19,821168 19,821168 78,575744
339 1631554450 0,086721 0,200000 0,086721 0,086721 0,001504
326 1631554450 0,055920 0,200000 0,055920 0,055920 0,000625
342 1631554450 19,821097 0,200000 19,821097 19,821097 78,575180
315 1631554450 0,104291 0,400000 0,096257 0,112325 0,004376
345 1631554451 19,821168 0,200000 19,821168 19,821168 78,575744
339 1631554451 0,086721 0,200000 0,086721 0,086721 0,001504
326 1631554451 0,055920 0,200000 0,055920 0,055920 0,000625
342 1631554451 19,821097 0,200000 19,821097 19,821097 78,575180
315 1631554451 0,104291 0,400000 0,096257 0,112325 0,004376
332 1631554452 0,096251 0,200000 0,096251 0,096251 0,001853
300 1631554452 0,090366 0,400000 0,089706 0,091025 0,003267
354 1631554452 19,509711 0,200000 19,509711 19,509711 76,125765
312 1631554452 0,142608 0,200000 0,142608 0,142608 0,004067
329 1631554452 0,066693 0,200000 0,066693 0,066693 0,000890
348 1631554452 14,321699 0,200000 14,321699 14,321699 41,022213
326 1631554452 0,054032 0,200000 0,054032 0,054032 0,000584
351 1631554452 16,915790 0,400000 14,321763 19,509817 117,149174
326 1631554453 0,054032 0,200000 0,054032 0,054032 0,000584
300 1631554453 0,090366 0,400000 0,089706 0,091025 0,003267
312 1631554453 0,142608 0,200000 0,142608 0,142608 0,004067
329 1631554453 0,066693 0,200000 0,066693 0,066693 0,000890
332 1631554453 0,096251 0,200000 0,096251 0,096251 0,001853
354 1631554453 19,509711 0,200000 19,509711 19,509711 76,125765
348 1631554453 14,321699 0,200000 14,321699 14,321699 41,022213
351 1631554453 16,915790 0,400000 14,321763 19,509817 117,149174
332 1631554454 0,096251 0,200000 0,096251 0,096251 0,001853
300 1631554454 0,090366 0,400000 0,089706 0,091025 0,003267
354 1631554454 19,509711 0,200000 19,509711 19,509711 76,125765
312 1631554454 0,142608 0,200000 0,142608 0,142608 0,004067
329 1631554454 0,066693 0,200000 0,066693 0,066693 0,000890
348 1631554454 14,321699 0,200000 14,321699 14,321699 41,022213
326 1631554454 0,054032 0,200000 0,054032 0,054032 0,000584
351 1631554454 16,915790 0,400000 14,321763 19,509817 117,149174
332 1631554455 0,096251 0,200000 0,096251 0,096251 0,001853
300 1631554455 0,090366 0,400000 0,089706 0,091025 0,003267
354 1631554455 19,509711 0,200000 19,509711 19,509711 76,125765
312 1631554455 0,142608 0,200000 0,142608 0,142608 0,004067
329 1631554455 0,066693 0,200000 0,066693 0,066693 0,000890
348 1631554455 14,321699 0,200000 14,321699 14,321699 41,022213
326 1631554455 0,054032 0,200000 0,054032 0,054032 0,000584
351 1631554455 16,915790 0,400000 14,321763 19,509817 117,149174
332 1631554456 0,096251 0,200000 0,096251 0,096251 0,001853
300 1631554456 0,090366 0,400000 0,089706 0,091025 0,003267
354 1631554456 19,509711 0,200000 19,509711 19,509711 76,125765
312 1631554456 0,142608 0,200000 0,142608 0,142608 0,004067
329 1631554456 0,066693 0,200000 0,066693 0,066693 0,000890
348 1631554456 14,321699 0,200000 14,321699 14,321699 41,022213
326 1631554456 0,054032 0,200000 0,054032 0,054032 0,000584
351 1631554456 16,915790 0,400000 14,321763 19,509817 117,149174
332 1631554457 0,141382 0,200000 0,141382 0,141382 0,003998
300 1631554457 0,099788 0,400000 0,094616 0,104960 0,003994
329 1631554457 0,055943 0,200000 0,055943 0,055943 0,000626
315 1631554457 0,111335 0,400000 0,110881 0,111789 0,004958
332 1631554458 0,141382 0,200000 0,141382 0,141382 0,003998
300 1631554458 0,099788 0,400000 0,094616 0,104960 0,003994
315 1631554458 0,111335 0,400000 0,110881 0,111789 0,004958
329 1631554458 0,055943 0,200000 0,055943 0,055943 0,000626
332 1631554459 0,141382 0,200000 0,141382 0,141382 0,003998
300 1631554459 0,099788 0,400000 0,094616 0,104960 0,003994
329 1631554459 0,055943 0,200000 0,055943 0,055943 0,000626
315 1631554459 0,111335 0,400000 0,110881 0,111789 0,004958
332 1631554460 0,141382 0,200000 0,141382 0,141382 0,003998
300 1631554460 0,099788 0,400000 0,094616 0,104960 0,003994
329 1631554460 0,055943 0,200000 0,055943 0,055943 0,000626
315 1631554460 0,111335 0,400000 0,110881 0,111789 0,004958
332 1631554461 0,141382 0,200000 0,141382 0,141382 0,003998
300 1631554461 0,099788 0,400000 0,094616 0,104960 0,003994
329 1631554461 0,055943 0,200000 0,055943 0,055943 0,000626
315 1631554461 0,111335 0,400000 0,110881 0,111789 0,004958
332 1631554462 0,144196 0,200000 0,144196 0,144196 0,004158
300 1631554462 0,091080 0,400000 0,091021 0,091139 0,003318
335 1631554462 0,054938 0,200000 0,054938 0,054938 0,000604
345 1631554462 19,801957 0,200000 19,801957 19,801957 78,423503
360 1631554462 0,057034 0,200000 0,057034 0,057034 0,000651
312 1631554462 0,143453 0,200000 0,143453 0,143453 0,004116
339 1631554462 0,112537 0,400000 0,083678 0,141396 0,005399
326 1631554462 0,056836 0,200000 0,056836 0,056836 0,000646
357 1631554462 10,550604 0,200000 10,550604 10,550604 22,263048
342 1631554462 19,801808 0,200000 19,801808 19,801808 78,422323
351 1631554462 10,550660 0,200000 10,550660 10,550660 22,263285
315 1631554462 0,103420 0,400000 0,095493 0,111348 0,004303
332 1631554463 0,144196 0,200000 0,144196 0,144196 0,004158
326 1631554463 0,056836 0,200000 0,056836 0,056836 0,000646
339 1631554463 0,112537 0,400000 0,083678 0,141396 0,005399
300 1631554463 0,091080 0,400000 0,091021 0,091139 0,003318
351 1631554463 10,550660 0,200000 10,550660 10,550660 22,263285
342 1631554463 19,801808 0,200000 19,801808 19,801808 78,422323
335 1631554463 0,054938 0,200000 0,054938 0,054938 0,000604
345 1631554463 19,801957 0,200000 19,801957 19,801957 78,423503
315 1631554463 0,103420 0,400000 0,095493 0,111348 0,004303
360 1631554463 0,057034 0,200000 0,057034 0,057034 0,000651
312 1631554463 0,143453 0,200000 0,143453 0,143453 0,004116
357 1631554463 10,550604 0,200000 10,550604 10,550604 22,263048
332 1631554464 0,144196 0,200000 0,144196 0,144196 0,004158
300 1631554464 0,091080 0,400000 0,091021 0,091139 0,003318
335 1631554464 0,054938 0,200000 0,054938 0,054938 0,000604
345 1631554464 19,801957 0,200000 19,801957 19,801957 78,423503
360 1631554464 0,057034 0,200000 0,057034 0,057034 0,000651
312 1631554464 0,143453 0,200000 0,143453 0,143453 0,004116
339 1631554464 0,112537 0,400000 0,083678 0,141396 0,005399
326 1631554464 0,056836 0,200000 0,056836 0,056836 0,000646
357 1631554464 10,550604 0,200000 10,550604 10,550604 22,263048
342 1631554464 19,801808 0,200000 19,801808 19,801808 78,422323
351 1631554464 10,550660 0,200000 10,550660 10,550660 22,263285
315 1631554464 0,103420 0,400000 0,095493 0,111348 0,004303
332 1631554465 0,144196 0,200000 0,144196 0,144196 0,004158
300 1631554465 0,091080 0,400000 0,091021 0,091139 0,003318
335 1631554465 0,054938 0,200000 0,054938 0,054938 0,000604
345 1631554465 19,801957 0,200000 19,801957 19,801957 78,423503
360 1631554465 0,057034 0,200000 0,057034 0,057034 0,000651
312 1631554465 0,143453 0,200000 0,143453 0,143453 0,004116
339 1631554465 0,112537 0,400000 0,083678 0,141396 0,005399
326 1631554465 0,056836 0,200000 0,056836 0,056836 0,000646
357 1631554465 10,550604 0,200000 10,550604 10,550604 22,263048
342 1631554465 19,801808 0,200000 19,801808 19,801808 78,422323
351 1631554465 10,550660 0,200000 10,550660 10,550660 22,263285
315 1631554465 0,103420 0,400000 0,095493 0,111348 0,004303
332 1631554466 0,144196 0,200000 0,144196 0,144196 0,004158
300 1631554466 0,091080 0,400000 0,091021 0,091139 0,003318
335 1631554466 0,054938 0,200000 0,054938 0,054938 0,000604
345 1631554466 19,801957 0,200000 19,801957 19,801957 78,423503
360 1631554466 0,057034 0,200000 0,057034 0,057034 0,000651
312 1631554466 0,143453 0,200000 0,143453 0,143453 0,004116
339 1631554466 0,112537 0,400000 0,083678 0,141396 0,005399
326 1631554466 0,056836 0,200000 0,056836 0,056836 0,000646
357 1631554466 10,550604 0,200000 10,550604 10,550604 22,263048
342 1631554466 19,801808 0,200000 19,801808 19,801808 78,422323
351 1631554466 10,550660 0,200000 10,550660 10,550660 22,263285
315 1631554466 0,103420 0,400000 0,095493 0,111348 0,004303
300 1631554467 0,091610 0,400000 0,088258 0,094962 0,003361
312 1631554467 0,137801 0,400000 0,115375 0,160228 0,007797
363 1631554467 10,301934 0,200000 10,301934 10,301934 21,225967
339 1631554467 0,087809 0,200000 0,087809 0,087809 0,001542
329 1631554467 0,055928 0,200000 0,055928 0,055928 0,000626
366 1631554467 10,302000 0,200000 10,302000 10,302000 21,226239
315 1631554467 0,112120 0,200000 0,112120 0,112120 0,002514
339 1631554468 0,087809 0,200000 0,087809 0,087809 0,001542
300 1631554468 0,091610 0,400000 0,088258 0,094962 0,003361
312 1631554468 0,137801 0,400000 0,115375 0,160228 0,007797
315 1631554468 0,112120 0,200000 0,112120 0,112120 0,002514
363 1631554468 10,301934 0,200000 10,301934 10,301934 21,225967
329 1631554468 0,055928 0,200000 0,055928 0,055928 0,000626
366 1631554468 10,302000 0,200000 10,302000 10,302000 21,226239
300 1631554469 0,091610 0,400000 0,088258 0,094962 0,003361
312 1631554469 0,137801 0,400000 0,115375 0,160228 0,007797
363 1631554469 10,301934 0,200000 10,301934 10,301934 21,225967
339 1631554469 0,087809 0,200000 0,087809 0,087809 0,001542
329 1631554469 0,055928 0,200000 0,055928 0,055928 0,000626
366 1631554469 10,302000 0,200000 10,302000 10,302000 21,226239
315 1631554469 0,112120 0,200000 0,112120 0,112120 0,002514
300 1631554470 0,091610 0,400000 0,088258 0,094962 0,003361
312 1631554470 0,137801 0,400000 0,115375 0,160228 0,007797
363 1631554470 10,301934 0,200000 10,301934 10,301934 21,225967
339 1631554470 0,087809 0,200000 0,087809 0,087809 0,001542
329 1631554470 0,055928 0,200000 0,055928 0,055928 0,000626
366 1631554470 10,302000 0,200000 10,302000 10,302000 21,226239
315 1631554470 0,112120 0,200000 0,112120 0,112120 0,002514
300 1631554471 0,091610 0,400000 0,088258 0,094962 0,003361
312 1631554471 0,137801 0,400000 0,115375 0,160228 0,007797
363 1631554471 10,301934 0,200000 10,301934 10,301934 21,225967
339 1631554471 0,087809 0,200000 0,087809 0,087809 0,001542
329 1631554471 0,055928 0,200000 0,055928 0,055928 0,000626
366 1631554471 10,302000 0,200000 10,302000 10,302000 21,226239
315 1631554471 0,112120 0,200000 0,112120 0,112120 0,002514
332 1631554472 0,120780 0,400000 0,098086 0,143474 0,006041
300 1631554472 0,104105 0,200000 0,104105 0,104105 0,002168
335 1631554472 0,056181 0,200000 0,056181 0,056181 0,000631
345 1631554472 19,790340 0,200000 19,790340 19,790340 78,331509
369 1631554472 0,051141 0,200000 0,051141 0,051141 0,000523
339 1631554472 0,090337 0,200000 0,090337 0,090337 0,001632
326 1631554472 0,060603 0,400000 0,057516 0,063689 0,001473
342 1631554472 19,790295 0,200000 19,790295 19,790295 78,331154
315 1631554472 0,095218 0,400000 0,094638 0,095798 0,003627
339 1631554473 0,090337 0,200000 0,090337 0,090337 0,001632
369 1631554473 0,051141 0,200000 0,051141 0,051141 0,000523
342 1631554473 19,790295 0,200000 19,790295 19,790295 78,331154
335 1631554473 0,056181 0,200000 0,056181 0,056181 0,000631
345 1631554473 19,790340 0,200000 19,790340 19,790340 78,331509
315 1631554473 0,095218 0,400000 0,094638 0,095798 0,003627
332 1631554473 0,120780 0,400000 0,098086 0,143474 0,006041
300 1631554473 0,104105 0,200000 0,104105 0,104105 0,002168
326 1631554473 0,060603 0,400000 0,057516 0,063689 0,001473
332 1631554474 0,120780 0,400000 0,098086 0,143474 0,006041
300 1631554474 0,104105 0,200000 0,104105 0,104105 0,002168
335 1631554474 0,056181 0,200000 0,056181 0,056181 0,000631
345 1631554474 19,790340 0,200000 19,790340 19,790340 78,331509
